项目名称,单位,X折叠,F700,10FT,15FT,20FT,30FT,40FT
无,项,0.0,0.0,0.0,0.0,0.0,0.0,0.0
不要,项,0.0,0.0,0.0,0.0,0.0,0.0,0.0
标配室内门,樘,0.0,0.0,0.0,0.0,0.0,0.0,0.0
普通内墙板,套,0.0,0.0,0.0,0.0,0.0,0.0,0.0
基础箱体,台,8000.0,10000.0,12000.0,15000.0,20000.0,30000.0,40000.0
空箱,套,0.0,0.0,0.0,0.0,0.0,0.0,0.0
房间数量定制,套,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一室,套,500.0,1000.0,800.0,900.0,1000.0,1500.0,2000.0
两室,套,1000.0,2000.0,1500.0,1800.0,2000.0,2500.0,3000.0
三室,套,1500.0,3000.0,2000.0,2500.0,3000.0,3500.0,4000.0
四室,套,2000.0,4000.0,2500.0,3000.0,4000.0,4500.0,5000.0
五室,套,2500.0,5000.0,3000.0,3500.0,5000.0,5500.0,6000.0
六室,套,3000.0,6000.0,3500.0,4000.0,6000.0,6500.0,7000.0
岩棉 50mm,平米,0.0,0.0,0.0,0.0,0.0,0.0,0.0
岩棉 75mm,平米,200.0,200.0,200.0,200.0,200.0,300.0,400.0
eps 75mm,平米,150.0,150.0,150.0,150.0,150.0,200.0,300.0
聚氨酯 75mm,平米,500.0,500.0,500.0,500.0,500.0,800.0,1000.0
碳晶板(8mm),套,1000.0,2000.0,1500.0,1800.0,2000.0,3000.0,4000.0
竹木纤维板,套,1200.0,2500.0,1800.0,2200.0,2500.0,3500.0,4500.0
普通外墙板,套,0.0,0.0,0.0,0.0,0.0,0.0,0.0
金属雕花板,套,1500.0,3000.0,2000.0,2500.0,3000.0,4000.0,5000.0
长城板,套,0.0,2500.0,2500.0,2500.0,2500.0,3500.0,4500.0
木芯门,樘,600.0,600.0,600.0,600.0,600.0,600.0,600.0
高端铝框木芯门,樘,800.0,800.0,800.0,800.0,800.0,800.0,800.0
谷仓门,樘,700.0,700.0,700.0,700.0,700.0,700.0,700.0
肯德基双开门,樘,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
肯德基单开门,樘,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
防盗门1,樘,900.0,900.0,900.0,900.0,900.0,900.0,900.0
防盗门2(钛镁合金),樘,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
断桥铝对开门,樘,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
断桥铝单开门,樘,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
断桥铝推拉门,樘,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0
钛镁合金推拉门,樘,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0
普通钢制对开门,樘,800.0,800.0,800.0,800.0,800.0,800.0,800.0
电动卷帘门,樘,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
断桥铝格格单开门,樘,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
钢制单开,樘,500.0,500.0,500.0,500.0,500.0,500.0,500.0
地板革(2mm),套,300.0,500.0,400.0,450.0,600.0,800.0,1000.0
石塑锁扣地板(4cm),套,600.0,1000.0,800.0,900.0,1200.0,1500.0,1800.0
断桥铝窗(不含纱窗),平米,400.0,400.0,400.0,400.0,400.0,400.0,400.0
断桥铝推拉窗(含纱窗),平米,450.0,450.0,450.0,450.0,450.0,450.0,450.0
铝合金推拉窗(含纱窗),平米,350.0,350.0,350.0,350.0,350.0,350.0,350.0
塑钢平开窗,平米,300.0,300.0,300.0,300.0,300.0,300.0,300.0
塑钢推拉窗,平米,280.0,280.0,280.0,280.0,280.0,280.0,280.0
电动卷帘窗,平米,800.0,800.0,800.0,800.0,800.0,800.0,800.0
普通网,个,100.0,100.0,100.0,100.0,100.0,100.0,100.0
金刚网,个,200.0,200.0,200.0,200.0,200.0,200.0,200.0
屋顶全贴防水卷材,项,0.0,500.0,500.0,500.0,500.0,1000.0,1000.0
聚氨酯板75,项,0.0,6000.0,6000.0,6000.0,6000.0,8000.0,9500.0
聚氨酯底部保温(4cm),项,0.0,2500.0,2500.0,2500.0,2500.0,4000.0,5000.0
聚氨酯底部保温(块),项,0.0,2000.0,2000.0,2000.0,2000.0,3000.0,4000.0
PVC,套,0.0,100.0,100.0,100.0,100.0,100.0,100.0
锰铝合金,套,0.0,200.0,200.0,200.0,200.0,200.0,200.0
顶部瓦楞板,套,0.0,150.0,150.0,150.0,150.0,150.0,150.0
内顶金属雕花板,套,0.0,200.0,200.0,200.0,200.0,200.0,200.0
平顶,套,0.0,100.0,100.0,100.0,100.0,100.0,100.0
通铺屋顶,项,0.0,0.0,0.0,0.0,5500.0,8500.0,11000.0
认证电线,项,1000.0,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0
认证插座开关,项,500.0,500.0,500.0,500.0,500.0,1000.0,1000.0
认证灯,项,350.0,350.0,350.0,350.0,350.0,600.0,600.0
上下水认证,项,0.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
马桶,个,0.0,800.0,800.0,800.0,800.0,800.0,800.0
排气扇(200*200),个,0.0,100.0,100.0,100.0,100.0,100.0,100.0
热水器,个,0.0,500.0,500.0,500.0,500.0,500.0,500.0
L橱柜+洗碗池,套,0.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
黑色L橱柜+洗碗池,套,0.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
吊柜,项,0.0,500.0,500.0,500.0,500.0,500.0,500.0
墙板特殊颜色,项,0.0,500.0,500.0,500.0,500.0,1000.0,1000.0
干湿分离,套,0.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
干湿分离(升级油砂玻璃),套,0.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
干湿分离(升级碳晶/竹木),套,0.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0
扇形卫浴,套,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
螺栓可调节支撑地脚杯,个,0.0,20.0,20.0,20.0,20.0,20.0,20.0
可调节大支撑腿,个,0.0,100.0,100.0,100.0,100.0,100.0,100.0
液压杆+绞盘,套,0.0,500.0,500.0,500.0,500.0,500.0,500.0
玻璃幕墙,项,0.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0
室外露台+屋顶,项,0.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
楼梯,项,0.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
拖车,辆,0.0,0.0,0.0,0.0,15000.0,23000.0,24500.0
,,,,,,,,
